,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
177,6cOoTI6mqsYuaZPyX76553,58,0.293,0,-11.548,1,0.0458,0.689,0.0,0.294,0.915,161.983,76565,4
178,4lMkOxg64jtcgSQ4yNBFdl,29,0.82,9,-5.401,1,0.125,0.286,0.0,0.119,0.321,140.032,293812,4
179,7rMqbvNImA6wy8lxlNUMmj,61,0.813,9,-6.107,1,0.066,0.278,0.0,0.109,0.311,140.101,294331,4
180,2PxZSFOv7RebkeSEwQTjr7,57,0.895,4,-3.417,0,0.0541,0.0521,0.00142,0.104,0.648,102.02,347040,4
181,5RHUlxtZy1CeR4mGFftLoF,51,0.933,1,-3.173,1,0.069,0.203,5.21e-06,0.166,0.842,108.002,254789,4
182,6eO9LvEiMqh1CAsa6y3wXP,60,0.473,11,-8.259,0,0.0312,0.284,0.0,0.0871,0.195,130.0,292827,3
183,5zXeQQFDcLi5Jldbji7ate,39,0.885,7,-4.851,0,0.0779,0.0897,0.00186,0.0662,0.955,114.999,234210,4
184,5TJlCsw2UnobYuoUKu9nFD,31,0.879,7,-4.147,0,0.0392,0.0101,0.00213,0.046,0.798,132.073,193512,4
185,26q5bMeoH7C2K3Xye5QKnH,40,0.556,5,-8.98,1,0.0514,0.362,2.9e-05,0.13,0.517,103.739,382493,4
186,5KLoYEVE4lNAkpj5pUsNTp,18,0.107,3,-17.96,0,0.047,0.977,0.000128,0.116,0.379,119.362,50442,4
187,4c8erEn1DjLoDp0CRLkNnq,63,0.907,7,-4.517,1,0.0607,0.655,4.85e-05,0.0816,0.834,126.062,194762,4
188,6emsLWJ2bu8vCP7BslV76d,46,0.822,0,-2.758,1,0.0425,0.0284,0.0,0.367,0.467,101.998,209412,4
189,1yPkYnRgZveWLCUSWX16ra,47,0.932,10,-1.562,1,0.145,0.173,0.000946,0.396,0.755,179.995,206974,4
190,4JlTjwiHMzJXXVcHHqHT0b,50,0.496,0,-11.138,1,0.0274,0.0668,0.0,0.245,0.686,84.666,293853,4
191,00juIvfvPtZ0CfAMwEkHaV,57,0.31,1,-14.111,0,0.0347,0.833,0.861,0.108,0.212,117.965,161771,4
192,3oKzTVB3MsspD89WtiLmX7,46,0.698,6,-4.95,1,0.0412,0.643,0.0,0.167,0.309,143.917,321392,4
193,3hvSB7NqAVUPKAdN78gVPR,20,0.821,0,-5.888,1,0.0829,0.446,0.0,0.0916,0.601,79.163,260111,4
